公司名称,地区,地址,联系人,职务,电子邮件,电话号码,邮政编码,主营,,客户类别,所属新野,人数,注册资金,开业日期,传真
上海上会会计师事务所有限公司,上海,上海市威海路７５５号,刘小虎,,,52920000,200041,会计辅导，经济查证，经营管理咨询，辅导报税及代办业务，培训和编泽证券业务资产评估，企业整体资产评估及单项资产评估包括房地产，机器设备，流动资产，无形资产,,有限责任公司,会计、审计、统计咨询业,120,210,2002-7-10
上海环境工程设计研究院有限公司,上海,上海市山西北路４４９弄５号,张俊川,,,63254421,200071,能源，节能，环保，市政工程及工业技术改造项目的咨询、研究、设计、工业和民用建筑设计、产品设计,,有限责任公司,工程设计业,60,322,2002-4-2
上海市锦江对外服务公司,上海,上海市长乐路１９１号５８１６１室,王华江,,,63239614,200020,为来沪侨外商及驻沪机构提供办公用房及服务，翻译（涉及许可经营的凭许可证经营）。经营方式：服务，代销。,,国有经济,其他类未包括的社会服务业,172,224,2002-4-1
上海外经贸申和进出口有限公司,上海,上海市杨高北路３３８０号３１２－３１３室,许小兵,,,63547838,200127,自营和代理各类商品及技术的进出口业务（国限限定公司经营和禁止经营的进出口商品除外），开展“三来一补”业务，经营转口贸易和对销贸易，经贸咨询，建材，劳防用品、文教用品、五金交电、汽配、百货、化工产品（除,,私营经济,商业经纪与代理业,50,300,2002-4-5
上海有线电视实业有限公司,上海,上海市洛川东路４８７号,孙华,,,56383684-1085,200072,有线电视卫星接收系统，网络工程设计安装调试（含双向多功能光纤传送网络发收设备配置），会议电视，安保监控工程，资料风光摄制，广播电视设备，电子器材，五金交电，百货文化用品，烟酒饮料食品及电视导购，通讯器,,有限责任公司,企业管理机构,34,100,2002-5-24
上海锦江物业管理公司,上海,上海市浦东新区福山路３０９号１０２室,王华江,,,63239614,200120,各种企事业，公共，民用物业的管理，投资，中介，房地产经纪，管理物业内的附属设施和配套服务，提供与物业管理有关的服务和设备器具的维修保养业务。经营方式：服务，批发，零售,,国有经济,房地产管理业,366,100,2002-2-7
上海市引进设备维修中心有限公司,上海,上海市双峰路３９８号,祁和俊,,,54033003,200030,引进设备的检测，监控，维修，工程承包及零配件供应，引进设备咨询，同类产品设备的维修服务，机电设备，机电产品，金属材料，电子产品，化工原料（除危险品）及产品的经销。（涉及许可经营的凭许可证经营）,,有限责任公司,工业专用设备修理业,70,100,2002-7-24
上海检验公司,上海,上海市浦东新区民生路１２０８号７２７－７２９室,沈其才,,,64189367,200135,办理进出口商品的有关检验及鉴定业务（按９２年９月章程），经营检验、鉴定用仪器仪表等三类商品进出口。接受委托，代理上述进出口业务及代理、办理国内外申请人委托的有关业务．认证咨询经营方式：进出口，代理，服,,国有经济,技术监督,80,350,2002-9-19
中国进出口商品检验（上海）公司,上海,上海市浦东新区民生路１２０８号７２５－７２６室,沈其才,,,64189367,200135,进出口商品的检验与鉴定。商检用品仪器，仪表，专用设备，化工产品（除危险品）。（上述范围涉及许可证经营的凭许可证经营）。经营方式：服务。,,国有经济,技术监督,50,130,2002-9-17
上海华东电力设计建设工程监理有限公司,上海,上海市武宁路４０９号,张鹏飞,,,62160277,200063,电力行业及其他行业的建筑，安装工程及地下工程设计，设计和施工监理，火电工程及其他工民建工程设计，相关专业的“四技”服务,,有限责任公司,其他公共服务业,150,100,2002-3-8
